Light;Nearsightedness
no light;No
night light;No
lamp;No
no light;No
no light;No
night light;Yes
lamp;No
night light;Yes
no light;No
night light;Yes
night light;No
no light;No
no light;No
lamp;Yes
lamp;No
no light;No
no light;No
night light;No
no light;No
no light;No
no light;No
night light;Yes
no light;No
no light;No
no light;Yes
night light;No
night light;No
no light;No
night light;Yes
no light;No
no light;No
no light;No
no light;No
no light;No
night light;Yes
lamp;Yes
night light;No
lamp;Yes
night light;No
no light;No
night light;No
night light;No
no light;No
lamp;No
night light;Yes
night light;No
lamp;Yes
lamp;Yes
lamp;Yes
night light;No
no light;No
no light;No
lamp;Yes
night light;Yes
no light;No
no light;Yes
no light;Yes
no light;No
lamp;Yes
night light;No
no light;No
no light;No
night light;Yes
no light;No
no light;No
night light;No
night light;Yes
night light;No
night light;Yes
lamp;No
night light;No
night light;No
no light;Yes
night light;No
night light;Yes
lamp;Yes
lamp;No
lamp;No
night light;No
no light;No
no light;No
no light;No
night light;Yes
lamp;No
night light;Yes
night light;No
night light;No
no light;No
night light;Yes
night light;No
night light;No
no light;No
night light;No
night light;No
night light;No
no light;No
lamp;Yes
lamp;No
night light;No
night light;Yes
no light;No
night light;No
night light;No
night light;No
no light;No
no light;No
no light;No
no light;No
night light;No
no light;No
no light;No
lamp;Yes
no light;Yes
night light;No
no light;No
night light;Yes
lamp;Yes
lamp;No
no light;No
night light;No
night light;Yes
night light;No
lamp;No
night light;Yes
no light;No
night light;No
night light;No
night light;No
no light;No
night light;No
night light;No
no light;No
night light;No
night light;Yes
night light;No
no light;No
night light;No
lamp;Yes
night light;No
no light;No
lamp;Yes
night light;Yes
night light;No
no light;No
night light;No
no light;No
night light;No
no light;No
night light;No
no light;No
night light;No
night light;Yes
lamp;Yes
no light;No
night light;Yes
no light;Yes
lamp;No
no light;No
no light;No
no light;No
lamp;Yes
night light;No
night light;No
lamp;No
no light;No
lamp;Yes
night light;No
night light;No
night light;No
night light;Yes
lamp;No
night light;No
no light;No
no light;Yes
lamp;No
night light;No
lamp;Yes
night light;Yes
no light;No
night light;No
night light;Yes
no light;No
night light;No
night light;Yes
night light;No
no light;No
night light;Yes
night light;No
lamp;Yes
no light;No
no light;Yes
night light;No
night light;No
no light;No
night light;No
night light;No
night light;No
no light;No
night light;No
no light;No
night light;No
night light;Yes
night light;No
night light;No
night light;No
night light;Yes
night light;No
night light;No
night light;No
night light;Yes
lamp;Yes
night light;No
night light;No
lamp;No
night light;No
night light;No
lamp;Yes
night light;No
no light;No
no light;No
night light;No
night light;Yes
night light;No
night light;No
night light;Yes
night light;Yes
night light;Yes
night light;No
night light;Yes
no light;No
night light;No
no light;No
night light;Yes
night light;No
night light;Yes
lamp;No
no light;Yes
no light;No
no light;No
night light;No
no light;No
no light;No
no light;No
no light;No
lamp;Yes
no light;No
night light;Yes
night light;No
night light;No
night light;No
no light;No
night light;No
night light;No
lamp;Yes
lamp;No
night light;No
lamp;Yes
night light;No
night light;Yes
night light;No
night light;No
night light;No
no light;No
no light;No
lamp;No
night light;No
night light;Yes
no light;No
lamp;No
lamp;No
lamp;Yes
night light;No
night light;Yes
no light;No
night light;Yes
night light;No
no light;No
no light;No
no light;No
night light;Yes
no light;No
lamp;Yes
no light;Yes
night light;Yes
night light;Yes
night light;Yes
no light;No
no light;Yes
no light;No
lamp;Yes
no light;No
night light;No
lamp;Yes
night light;No
no light;No
night light;No
lamp;No
night light;Yes
night light;No
no light;No
lamp;Yes
night light;Yes
no light;No
no light;No
no light;No
no light;No
night light;No
night light;No
no light;No
night light;Yes
night light;No
night light;No
night light;No
lamp;Yes
night light;No
no light;No
no light;No
no light;No
night light;No
night light;No
night light;No
no light;No
no light;No
night light;No
no light;Yes
night light;Yes
no light;No
no light;No
no light;No
night light;No
no light;Yes
no light;No
night light;No
no light;Yes
no light;No
no light;No
lamp;Yes
night light;No
no light;No
no light;No
no light;No
night light;No
lamp;Yes
lamp;No
night light;Yes
no light;No
night light;No
night light;Yes
night light;Yes
night light;No
night light;No
no light;No
night light;No
lamp;No
night light;Yes
no light;No
lamp;No
night light;No
night light;No
night light;Yes
lamp;No
night light;Yes
no light;No
night light;No
lamp;Yes
no light;No
night light;Yes
night light;No
lamp;No
night light;No
lamp;Yes
no light;No
night light;No
no light;No
no light;No
no light;No
night light;No
night light;Yes
night light;Yes
night light;No
no light;No
night light;Yes
night light;No
night light;Yes
night light;No
no light;No
lamp;No
night light;Yes
no light;No
night light;Yes
night light;No
night light;Yes
lamp;Yes
night light;Yes
night light;No
night light;No
no light;No
no light;No
no light;No
lamp;Yes
no light;No
lamp;Yes
no light;No
night light;No
lamp;Yes
no light;No
night light;No
lamp;No
no light;No
no light;Yes
night light;Yes
night light;No
no light;No
no light;No
night light;No
night light;No
night light;No
night light;Yes
night light;Yes
night light;No
no light;No
night light;No
night light;No
no light;No
lamp;No
no light;No
night light;Yes
no light;Yes
no light;No
night light;No
night light;No
lamp;No
no light;No
no light;No
no light;No
night light;Yes
lamp;No
no light;No
night light;No
no light;No
no light;No
no light;No
no light;No
night light;Yes
no light;No
no light;No
no light;Yes
no light;No
night light;No
night light;No
night light;No
no light;No
night light;No
night light;No
lamp;Yes
no light;No
no light;No
no light;No
no light;No
no light;No
night light;Yes
no light;No
night light;Yes
no light;No
night light;Yes
lamp;Yes
lamp;Yes
night light;No
night light;No
night light;No
lamp;No
night light;Yes
night light;Yes
night light;Yes
night light;No
no light;No
night light;Yes
night light;No
lamp;No
